..........NEWSTART..........
..........NEWSTART..........
..........NEWSTART..........
Nashville-Davidson, Tennessee : 24
Baltimore, Maryland : 25
Wichita, Kansas : 48
Corpus Christi, Texas : 59
Lexington-Fayette, Kentucky : 60
Buffalo, New York : 72
Fort Wayne, Indiana : 75
Durham, North Carolina : 81
Garland, Texas : 87
Reno, Nevada : 89
Boise City, Idaho : 97
Rochester, New York : 102
Newport News, Virginia : 129
Brownsville, Texas : 130
Overland Park, Kansas : 131
Garden Grove, California : 134
Salem, Oregon : 151
Corona, California : 153
Salinas, California : 156
Rockford, Illinois : 163
Kansas City, Kansas : 167
Sunnyvale, California : 169
Bellevue, Washington : 189
West Valley City, Utah : 190
New Haven, Connecticut : 194
Waco, Texas : 196
Cedar Rapids, Iowa : 198
Roseville, California : 205
Stamford, Connecticut : 208
Hartford, Connecticut : 211
Provo, Utah : 232
Columbia, Missouri : 234
Inglewood, California : 241
Carlsbad, California : 243
Fairfield, California : 254
High Point, North Carolina : 259
Richmond, California : 261
Antioch, California : 264
Centennial, Colorado : 267
Everett, Washington : 268
Pompano Beach, Florida : 275
El Cajon, California : 281
Rialto, California : 283
San Angelo, Texas : 301
Lawton, Oklahoma : 303
Davie, Florida : 306
Dearborn, Michigan : 310
New Bedford, Massachusetts : 314
Santa Monica, California : 325
Allen, Texas : 327
Westminster, California : 330
Lynn, Massachusetts : 332
Sandy, Utah : 340
Macon, Georgia : 342
Reading, Pennsylvania : 352
Newport Beach, California : 355
Nampa, Idaho : 360
Duluth, Minnesota : 364
Citrus Heights, California : 368
Tracy, California : 370
Kirkland, Washington : 372
Fishers, Indiana : 377
Danbury, Connecticut : 379
Indio, California : 381
Menifee, California : 383
Troy, Michigan : 386
Hemet, California : 394
Edinburg, Texas : 403
Parma, Ohio : 405
Hammond, Indiana : 409
Bloomington, Illinois : 411
Deerfield Beach, Florida : 421
Mountain View, California : 423
Baytown, Texas : 440
Mount Pleasant, South Carolina : 445
Pleasanton, California : 449
Pharr, Texas : 454
Folsom, California : 457
New Britain, Connecticut : 460
Warner Robins, Georgia : 463
Iowa City, Iowa : 467
Gulfport, Mississippi : 475
Lafayette, Indiana : 480
